City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description,Rain(inches),Snow(inches),Date
420,Birin,26.89,88.07,70.34,87,1,3.29,NP,clear sky,0.0,0,2020-06-21 02:16:56
421,Carauari,-4.88,-66.9,73.89,91,13,0.94,BR,few clouds,0.0,0,2020-06-21 02:16:57
422,Bolkhov,53.44,36.0,62.22,97,25,8.5,RU,light rain,0.57,0,2020-06-21 02:16:57
423,Lompoc,34.64,-120.46,61.0,77,12,12.75,US,few clouds,0.0,0,2020-06-21 02:16:57
424,Shingu,33.73,135.98,75.2,69,75,2.24,JP,broken clouds,0.0,0,2020-06-21 02:16:58
425,Mnogovershinnyy,53.94,139.92,51.67,69,39,8.43,RU,scattered clouds,0.0,0,2020-06-21 02:16:58
426,Ust-Kuyga,70.02,135.6,87.84,25,5,5.28,RU,clear sky,0.0,0,2020-06-21 02:12:06
427,Lokosovo,61.13,74.82,52.39,94,100,9.71,RU,light rain,0.2,0,2020-06-21 02:16:59
428,Orlik,52.52,99.83,62.2,51,80,1.43,RU,broken clouds,0.0,0,2020-06-21 02:16:59
429,Tshikapa,-6.42,20.8,65.88,44,0,2.39,CD,clear sky,0.0,0,2020-06-21 02:16:59
430,Baykit,61.67,96.37,67.19,46,76,2.37,RU,broken clouds,0.0,0,2020-06-21 02:17:00
431,Safita,34.82,36.12,71.6,88,40,11.41,SY,scattered clouds,0.0,0,2020-06-21 02:17:00
432,La Paz,-16.5,-68.15,37.4,34,0,2.24,BO,clear sky,0.0,0,2020-06-21 02:17:00
433,Akim Swedru,5.89,-1.02,72.95,96,99,1.21,GH,overcast clouds,0.0,0,2020-06-21 02:17:00
434,Acapulco,16.86,-99.89,86.0,70,75,2.84,MX,broken clouds,0.0,0,2020-06-21 02:15:42
435,Sorland,67.67,12.69,58.1,69,45,9.69,NO,scattered clouds,0.0,0,2020-06-21 02:17:01
436,Kuching,1.55,110.33,80.6,88,20,2.24,MY,few clouds,0.0,0,2020-06-21 02:14:35
437,Basco,20.45,121.97,84.78,75,87,8.37,PH,overcast clouds,0.0,0,2020-06-21 02:17:01
438,Emerald,-23.53,148.17,72.0,64,47,10.29,AU,scattered clouds,0.0,0,2020-06-21 02:12:05
439,Komsomolskiy,40.43,71.72,71.6,30,0,6.93,UZ,clear sky,0.0,0,2020-06-21 02:17:01
440,Maihar,24.27,80.75,86.09,66,80,9.55,IN,broken clouds,0.0,0,2020-06-21 02:17:02
441,Thomaston,32.89,-84.33,78.01,73,1,3.49,US,clear sky,0.0,0,2020-06-21 02:17:02
442,Nuuk,64.18,-51.72,37.4,93,100,9.17,GL,haze,0.0,0,2020-06-21 02:17:02
443,Bahraich,27.58,81.6,81.0,81,100,1.01,IN,light rain,0.31,0,2020-06-21 02:17:03
444,San Ramon,37.78,-121.98,73.99,49,1,11.41,US,clear sky,0.0,0,2020-06-21 02:15:12
